Office,Last_Name,First_Name,Middle_Name,District,Party,DC_Office_Address,DC_Zip,DC_Phone,Website,Contact_Form,Email,Facebook,Twitter_X,Instagram,TikTok,Geographic_Region,AIPAC_Funded,War_Industrial_Complex_Funded
U.S. Senate,Scott,Rick,,Statewide,Republican,716 Hart Senate Office Building,20510,202-224-5274,https://www.rickscott.senate.gov,https://www.rickscott.senate.gov/contact_rick,Use web form,https://www.facebook.com/SenRickScott,https://twitter.com/SenRickScott,https://www.instagram.com/senrickscott,,Florida Statewide,No,No
U.S. Senate,Rubio,Marco,,Statewide,Republican,284 Russell Senate Office Building,20510,202-224-3041,https://www.rubio.senate.gov,https://www.rubio.senate.gov/public/index.cfm/contact,Use web form,https://www.facebook.com/SenatorMarcoRubio,https://twitter.com/marcorubio,https://www.instagram.com/marcorubio,,Florida Statewide,No,No
U.S. House,Gaetz,Matt,,FL-01,Republican,1721 Longworth House Office Building,20515,202-225-4136,https://gaetz.house.gov,https://gaetz.house.gov/contact,Use web form,https://www.facebook.com/RepMattGaetz,https://twitter.com/RepMattGaetz,https://www.instagram.com/repmattgaetz,https://www.tiktok.com/@repmattgaetz,Panhandle,No,No
U.S. House,Dunn,Neal,Patrick,FL-02,Republican,316 Cannon House Office Building,20515,202-225-5235,https://dunn.house.gov,https://dunn.house.gov/contact,Use web form,https://www.facebook.com/RepNealDunn,https://twitter.com/RepNealDunn,https://www.instagram.com/repnealdunn,,North Florida,No,No
U.S. House,Cammack,Kat,,FL-03,Republican,1626 Longworth House Office Building,20515,202-225-5744,https://cammack.house.gov,https://cammack.house.gov/contact,Use web form,https://www.facebook.com/RepKatCammack,https://twitter.com/RepKatCammack,https://www.instagram.com/repkatcammack,https://www.tiktok.com/@repkatcammack,North Central FL (Gainesville),No,No
U.S. House,Bean,Aaron,P.,FL-04,Republican,463 Cannon House Office Building,20515,202-225-2501,https://bean.house.gov,https://bean.house.gov/contact,Use web form,https://www.facebook.com/RepAaronBean,https://twitter.com/RepAaronBean,https://www.instagram.com/repaaron.bean,,Northeast FL (Jacksonville),No,No
U.S. House,Rutherford,John,H.,FL-05,Republican,2241 Rayburn House Office Building,20515,202-225-2501,https://rutherford.house.gov,https://rutherford.house.gov/contact,Use web form,https://www.facebook.com/RepRutherfordFL,https://twitter.com/RepRutherfordFL,https://www.instagram.com/reprutherfordfl,,Jacksonville Area,No,No
U.S. House,Waltz,Michael,,FL-06,Republican,568 Cannon House Office Building,20515,202-225-2706,https://waltz.house.gov,https://waltz.house.gov/contact,Use web form,https://www.facebook.com/RepMichaelWaltz,https://twitter.com/RepMichaelWaltz,https://www.instagram.com/repmichaelwaltz,,East Central Florida,No,No
U.S. House,Mills,Cory,,FL-07,Republican,1337 Longworth House Office Building,20515,202-225-4035,https://mills.house.gov,https://mills.house.gov/contact,Use web form,https://www.facebook.com/RepCoryMills,https://twitter.com/RepCoryMills,https://www.instagram.com/repCorymills,https://www.tiktok.com/@repCorymills,Central Florida,No,No
U.S. House,Posey,Bill,,FL-08,Republican,2150 Rayburn House Office Building,20515,202-225-3671,https://posey.house.gov,https://posey.house.gov/contact,Use web form,https://www.facebook.com/CongBillPosey,https://twitter.com/CongBillPosey,https://www.instagram.com/congbillposey,,Space Coast,No,No
